model,rating,games,wins,draws
league_ppo_real (score reward)_checkpoint_5200000.pth,1586.35,463,311,8
league_ppo (score reward)_checkpoint_4400000.pth,1586.26,523,313,11
league_ppo_real (score reward)_checkpoint_3500000.pth,1585.94,409,261,9
league_ppo_regular (score reward)_checkpoint_2400000.pth,1585.66,76,50,0
league_ppo_real (score reward)_checkpoint_5600000.pth,1585.34,230,143,5
league_ppo_regular (score reward)_checkpoint_5400000.pth,1585.29,174,103,7
league_ppo_regular (score reward)_checkpoint_8200000.pth,1584.46,132,77,8
league_ppo (score reward)_checkpoint_29100000.pth,1584.17,191,124,11
league_ppo_regular (score reward)_checkpoint_1900000.pth,1584.17,470,259,10
league_ppo (score reward)_checkpoint_5700000.pth,1583.96,460,272,23
league_ppo (score reward)_checkpoint_19500000.pth,1583.80,149,91,3
league_ppo (score reward)_checkpoint_28100000.pth,1583.27,109,61,3
league_ppo_real (score reward)_checkpoint_5400000.pth,1582.30,323,171,20
league_ppo (score reward)_checkpoint_4500000.pth,1582.27,353,214,16
league_ppo_regular (score reward)_checkpoint_5300000.pth,1580.97,634,358,15
league_ppo (score reward)_checkpoint_16200000.pth,1580.51,248,152,4
league_ppo (misc rewards)_checkpoint_3200000.pth,1580.23,297,171,21
league_ppo_regular (score reward)_checkpoint_3300000.pth,1580.13,283,171,4
league_ppo (score reward)_checkpoint_18800000.pth,1580.12,311,163,10
league_ppo_real (score reward)_checkpoint_2300000.pth,1580.07,279,169,7
league_ppo (score reward)_checkpoint_17100000.pth,1579.38,502,262,22
shoot_left_ppo (without embedding)_checkpoint_2916352.pth,1578.51,648,348,18
league_ppo (score reward)_checkpoint_5600000.pth,1578.48,138,82,1
league_ppo_regular (score reward)_checkpoint_6700000.pth,1578.35,267,169,6
league_ppo (score reward)_checkpoint_19400000.pth,1578.20,86,53,2
league_ppo_regular (score reward)_checkpoint_6500000.pth,1578.05,370,214,15
league_ppo_real (score reward)_checkpoint_2800000.pth,1577.88,160,89,2
league_ppo_real (score reward)_checkpoint_3200000.pth,1576.89,202,113,8
league_ppo_real (score reward)_checkpoint_9900000.pth,1576.38,428,226,32
league_ppo (score reward)_checkpoint_29500000.pth,1576.28,702,396,20
league_ppo_regular (score reward)_checkpoint_4000000.pth,1576.03,215,120,10
league_ppo_regular (score reward)_checkpoint_13400000.pth,1574.98,923,498,71
league_ppo (score reward)_checkpoint_13800000.pth,1574.63,143,88,2
league_ppo (score reward)_checkpoint_6100000.pth,1572.96,102,57,15
league_ppo (score reward)_checkpoint_6300000.pth,1572.41,257,148,19
league_ppo (score reward)_checkpoint_4800000.pth,1572.27,228,135,3
league_ppo_real (score reward)_checkpoint_6600000.pth,1571.62,171,99,8
league_ppo (score reward)_checkpoint_19200000.pth,1571.22,200,107,9
league_ppo (score reward)_checkpoint_23900000.pth,1570.48,155,92,13
league_ppo (score reward)_checkpoint_22700000.pth,1570.47,92,44,8
league_ppo_regular (score reward)_checkpoint_2200000.pth,1569.22,150,85,9
league_ppo_regular (score reward)_checkpoint_2300000.pth,1568.53,419,252,16
league_ppo (score reward)_checkpoint_13400000.pth,1567.20,91,58,3
league_ppo_regular (score reward)_checkpoint_4800000.pth,1566.83,372,222,16
league_ppo (score reward)_checkpoint_26600000.pth,1566.00,309,193,5
league_ppo_real (score reward)_checkpoint_5900000.pth,1565.96,88,49,6
league_ppo (score reward)_checkpoint_2400000.pth,1565.86,199,116,6
league_ppo_regular (score reward)_checkpoint_10100000.pth,1565.81,69,43,5
league_ppo (score reward)_checkpoint_5800000.pth,1565.76,103,62,3
league_ppo_regular (score reward)_checkpoint_11200000.pth,1565.58,146,82,12
league_ppo (score reward)_checkpoint_17800000.pth,1564.89,257,125,17
league_ppo_real (score reward)_checkpoint_2900000.pth,1564.66,404,218,10
shoot_left_ppo (without embedding)_checkpoint_2260992.pth,1563.31,204,107,2
league_ppo (score reward)_checkpoint_22600000.pth,1563.26,552,282,21
league_ppo_regular (score reward)_checkpoint_10500000.pth,1563.09,158,90,11
league_ppo_real (score reward)_checkpoint_3300000.pth,1563.04,188,112,4
league_ppo (score reward)_checkpoint_5900000.pth,1562.99,257,151,5
league_ppo_real (score reward)_checkpoint_7500000.pth,1562.12,222,119,7
league_ppo_real (score reward)_checkpoint_2200000.pth,1561.94,472,237,19
league_ppo (score reward)_checkpoint_23200000.pth,1561.85,792,410,34
league_ppo_regular (score reward)_checkpoint_4500000.pth,1561.73,888,517,26
league_ppo (misc rewards)_checkpoint_8000000.pth,1561.12,204,98,19
shoot_left_ppo (without embedding)_checkpoint_868352.pth,1560.18,287,153,10
league_ppo (score reward)_checkpoint_16500000.pth,1560.08,586,338,7
league_ppo (score reward)_checkpoint_16600000.pth,1559.69,483,286,6
league_ppo_regular (score reward)_checkpoint_5900000.pth,1558.72,102,62,4
league_ppo_real (score reward)_checkpoint_7800000.pth,1558.36,172,94,20
league_ppo (score reward)_checkpoint_6400000.pth,1557.45,539,266,97
league_ppo (score reward)_checkpoint_5000000.pth,1556.62,361,212,10
league_ppo (score reward)_checkpoint_26500000.pth,1555.70,140,77,8
league_ppo (score reward)_checkpoint_18200000.pth,1553.12,343,174,20
league_ppo_regular (score reward)_checkpoint_5600000.pth,1552.96,138,73,10
league_ppo_regular (score reward)_checkpoint_1700000.pth,1552.96,296,181,2
league_ppo (misc rewards)_checkpoint_2000000.pth,1551.98,88,50,2
league_ppo_regular (score reward)_checkpoint_700000.pth,1551.97,300,160,12
league_ppo_real (score reward)_checkpoint_10000000.pth,1550.22,527,253,49
league_ppo (score reward)_checkpoint_13200000.pth,1550.15,239,129,5
league_ppo (misc rewards)_checkpoint_7700000.pth,1549.74,201,114,8
league_ppo (score reward)_checkpoint_16900000.pth,1549.63,88,48,6
league_ppo (score reward)_checkpoint_23800000.pth,1549.57,500,287,20
league_ppo (score reward)_checkpoint_21600000.pth,1546.24,253,142,16
league_ppo (misc rewards)_checkpoint_2200000.pth,1546.10,179,93,5
league_ppo_real (score reward)_checkpoint_8300000.pth,1546.08,230,132,12
league_ppo (score reward)_checkpoint_26300000.pth,1545.86,313,160,23
league_ppo (score reward)_checkpoint_29800000.pth,1545.70,149,84,8
league_ppo (score reward)_checkpoint_3300000.pth,1544.36,656,331,12
shoot_left_ppo (without embedding)_checkpoint_2621440.pth,1543.06,226,113,7
league_ppo (score reward)_checkpoint_13300000.pth,1542.73,108,58,1
league_ppo (score reward)_checkpoint_16800000.pth,1542.24,141,74,1
league_ppo_regular (score reward)_checkpoint_3900000.pth,1541.58,127,72,2
league_ppo_regular (score reward)_checkpoint_13200000.pth,1541.53,290,152,24
league_ppo (score reward)_checkpoint_4200000.pth,1541.46,117,66,3
league_ppo (score reward)_checkpoint_21700000.pth,1541.20,332,147,39
league_ppo (score reward)_checkpoint_16700000.pth,1540.76,191,107,3
shoot_left_ppo (without embedding)_checkpoint_2654208.pth,1540.44,452,276,4
league_ppo_regular (score reward)_checkpoint_6100000.pth,1540.40,365,175,18
league_ppo_regular (score reward)_checkpoint_7300000.pth,1540.29,138,77,6
league_ppo (score reward)_checkpoint_17500000.pth,1540.25,272,135,9
league_ppo (score reward)_checkpoint_2600000.pth,1539.80,201,114,2
league_ppo_real (score reward)_checkpoint_8500000.pth,1539.78,448,223,34
league_ppo_real (score reward)_checkpoint_11400000.pth,1539.73,402,183,47
league_ppo (score reward)_checkpoint_16400000.pth,1538.49,69,37,3
league_ppo (misc rewards)_checkpoint_1800000.pth,1537.93,107,60,4
league_ppo (score reward)_checkpoint_23000000.pth,1537.89,85,49,4
league_ppo (score reward)_checkpoint_25000000.pth,1537.82,105,60,2
league_ppo (score reward)_checkpoint_28300000.pth,1537.70,136,73,4
league_ppo_real (score reward)_checkpoint_7700000.pth,1537.34,795,407,46
league_ppo_real (score reward)_checkpoint_2500000.pth,1537.12,92,57,3
league_ppo (score reward)_checkpoint_23700000.pth,1536.48,1120,517,150
league_ppo_real (score reward)_checkpoint_7200000.pth,1536.19,463,232,22
league_ppo_real (score reward)_checkpoint_8200000.pth,1536.05,314,146,22
league_ppo (misc rewards)_checkpoint_3700000.pth,1535.46,373,161,20
league_ppo (misc rewards)_checkpoint_2800000.pth,1535.17,475,249,29
shoot_left_ppo (without embedding)_checkpoint_2490368.pth,1534.55,283,154,6
league_ppo_real (score reward)_checkpoint_4900000.pth,1533.71,242,119,17
league_ppo (score reward)_checkpoint_18700000.pth,1533.14,84,46,4
league_ppo (misc rewards)_checkpoint_7600000.pth,1532.51,129,69,8
shoot_left_ppo (without embedding)_checkpoint_1966080.pth,1532.20,387,217,9
