model,rating,games,wins,draws
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13000000.pth,1674.11,100,16,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1300000.pth,1672.95,100,17,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2300000.pth,1669.07,100,18,4
baseline_league_ppo (score reward)_checkpoint_12500000.pth,1668.72,2054,1076,223
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_22100000.pth,1667.45,100,15,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_500000.pth,1667.24,100,10,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10300000.pth,1666.19,100,19,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18700000.pth,1665.97,100,26,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4800000.pth,1663.10,100,19,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15800000.pth,1660.87,100,12,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6800000.pth,1660.49,100,19,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4600000.pth,1660.25,100,10,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6400000.pth,1656.69,100,14,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17800000.pth,1656.35,100,13,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16100000.pth,1654.87,100,9,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_600000.pth,1654.51,100,9,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1400000.pth,1654.36,100,17,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20100000.pth,1649.88,100,17,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1800000.pth,1648.17,100,15,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12600000.pth,1647.94,100,17,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2400000.pth,1645.93,100,17,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13800000.pth,1643.01,100,12,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20900000.pth,1642.15,100,8,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20500000.pth,1641.43,100,11,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16700000.pth,1640.42,100,10,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13900000.pth,1637.80,100,6,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11800000.pth,1633.47,100,13,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8700000.pth,1630.81,100,18,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21300000.pth,1625.69,100,13,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12200000.pth,1625.33,100,12,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15000000.pth,1624.66,100,8,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21100000.pth,1622.20,100,12,16
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6000000.pth,1620.50,100,10,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10400000.pth,1613.21,100,8,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15300000.pth,1612.79,100,4,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2800000.pth,1609.09,100,16,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14600000.pth,1608.29,100,4,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18500000.pth,1608.29,100,2,17
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13400000.pth,1607.64,100,9,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18300000.pth,1607.22,100,10,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3100000.pth,1605.85,100,12,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18200000.pth,1605.71,100,13,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12700000.pth,1605.32,100,10,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10100000.pth,1600.62,100,13,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10500000.pth,1600.09,100,11,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3200000.pth,1598.87,100,15,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3800000.pth,1596.62,100,3,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11900000.pth,1595.04,100,15,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3400000.pth,1595.01,100,13,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13500000.pth,1592.81,100,9,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20000000.pth,1591.93,100,11,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21800000.pth,1591.84,100,6,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6200000.pth,1590.74,100,8,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3700000.pth,1590.09,100,5,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_700000.pth,1590.06,100,12,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18400000.pth,1589.88,100,7,10
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2000000.pth,1589.50,100,6,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2900000.pth,1588.46,100,12,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13100000.pth,1587.92,100,5,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2200000.pth,1587.45,100,15,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5800000.pth,1586.84,100,12,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14800000.pth,1585.65,100,11,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20700000.pth,1584.83,100,7,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12300000.pth,1583.80,100,6,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10600000.pth,1582.93,100,6,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_800000.pth,1582.63,100,8,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11000000.pth,1582.22,100,10,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16200000.pth,1581.55,100,18,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4400000.pth,1581.46,100,10,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21000000.pth,1580.98,100,11,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15100000.pth,1579.59,100,8,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1700000.pth,1579.11,100,14,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13200000.pth,1578.26,100,8,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20300000.pth,1578.00,100,3,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_22200000.pth,1577.39,100,8,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1000000.pth,1576.61,100,10,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14400000.pth,1576.32,100,5,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18100000.pth,1574.63,100,9,12
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13300000.pth,1574.62,100,3,12
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10200000.pth,1572.44,100,8,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_300000.pth,1571.44,100,12,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2500000.pth,1571.28,100,8,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12500000.pth,1570.62,100,10,4
