model,rating,games,wins,draws
league_ppo (score reward)_checkpoint_27100000.pth,1940.06,100,49,0
league_ppo (score reward)_checkpoint_23100000.pth,1939.40,100,51,1
league_ppo_real (score reward)_checkpoint_3700000.pth,1938.80,100,52,1
league_ppo (score reward)_checkpoint_16000000.pth,1936.85,100,49,1
league_ppo (score reward)_checkpoint_4300000.pth,1936.73,100,49,1
league_ppo_regular (score reward)_checkpoint_11300000.pth,1935.75,100,44,5
league_ppo (score reward)_checkpoint_19500000.pth,1935.63,100,49,2
league_ppo_real (score reward)_checkpoint_12800000.pth,1935.53,100,55,1
league_ppo (score reward)_checkpoint_20500000.pth,1935.48,100,44,2
league_ppo (score reward)_checkpoint_28600000.pth,1935.31,100,51,1
league_ppo (score reward)_checkpoint_29900000.pth,1934.93,100,45,1
league_ppo_regular (score reward)_checkpoint_5400000.pth,1934.64,100,53,1
league_ppo (score reward)_checkpoint_19000000.pth,1934.57,100,43,1
league_ppo (score reward)_checkpoint_27200000.pth,1934.54,100,44,0
league_ppo (misc rewards)_checkpoint_2800000.pth,1934.46,100,38,8
league_ppo_real (score reward)_checkpoint_3200000.pth,1933.95,100,47,1
league_ppo_regular (score reward)_checkpoint_8500000.pth,1933.28,100,50,4
league_ppo_real (score reward)_checkpoint_3100000.pth,1933.07,100,46,0
league_ppo_real (score reward)_checkpoint_7800000.pth,1933.03,100,48,5
league_ppo (score reward)_checkpoint_25100000.pth,1932.98,100,47,2
league_ppo (score reward)_checkpoint_13800000.pth,1932.08,100,51,1
league_ppo_regular (score reward)_checkpoint_4100000.pth,1931.46,100,48,3
league_ppo (score reward)_checkpoint_4500000.pth,1931.33,100,47,4
league_ppo_regular (score reward)_checkpoint_10300000.pth,1931.32,100,55,2
league_ppo (score reward)_checkpoint_25300000.pth,1930.50,100,52,0
league_ppo (score reward)_checkpoint_26200000.pth,1927.48,100,51,1
league_ppo (score reward)_checkpoint_27600000.pth,1927.21,100,50,2
league_ppo_regular (score reward)_checkpoint_12200000.pth,1926.08,100,48,5
league_ppo (score reward)_checkpoint_26600000.pth,1925.59,100,44,1
league_ppo (score reward)_checkpoint_4600000.pth,1925.49,100,50,3
league_ppo_regular (score reward)_checkpoint_8700000.pth,1925.34,100,52,2
league_ppo (misc rewards)_checkpoint_1900000.pth,1925.31,100,42,3
league_ppo (score reward)_checkpoint_13600000.pth,1925.19,100,49,2
league_ppo_regular (score reward)_checkpoint_12900000.pth,1924.83,100,43,3
league_ppo (score reward)_checkpoint_18400000.pth,1924.73,100,48,2
league_ppo_real (score reward)_checkpoint_2500000.pth,1924.51,100,48,3
league_ppo_regular (score reward)_checkpoint_11200000.pth,1924.23,100,47,2
league_ppo (score reward)_checkpoint_16600000.pth,1923.05,100,48,0
league_ppo_real (score reward)_checkpoint_12200000.pth,1922.13,100,40,5
league_ppo_real (score reward)_checkpoint_2900000.pth,1921.61,100,47,2
league_ppo_real (score reward)_checkpoint_3300000.pth,1921.22,100,50,3
league_ppo (score reward)_checkpoint_27300000.pth,1921.18,100,53,0
league_ppo (score reward)_checkpoint_16400000.pth,1920.42,100,44,2
league_ppo_regular (score reward)_checkpoint_6800000.pth,1920.39,100,48,0
league_ppo (score reward)_checkpoint_27800000.pth,1919.65,100,41,3
league_ppo (score reward)_checkpoint_30000000.pth,1918.73,100,47,6
league_ppo (score reward)_checkpoint_27500000.pth,1918.62,100,49,0
league_ppo_real (score reward)_checkpoint_6000000.pth,1918.60,100,40,10
league_ppo (score reward)_checkpoint_5500000.pth,1918.49,100,43,7
league_ppo_regular (score reward)_checkpoint_9700000.pth,1917.90,100,53,5
league_ppo (misc rewards)_checkpoint_2700000.pth,1917.56,100,42,3
league_ppo (score reward)_checkpoint_25900000.pth,1917.55,100,49,4
league_ppo (score reward)_checkpoint_27700000.pth,1917.36,100,56,2
league_ppo (misc rewards)_checkpoint_2300000.pth,1916.12,100,56,2
league_ppo (score reward)_checkpoint_3300000.pth,1915.94,100,47,2
league_ppo (score reward)_checkpoint_3200000.pth,1915.89,100,52,1
league_ppo (score reward)_checkpoint_6700000.pth,1915.46,100,50,2
league_ppo (score reward)_checkpoint_4000000.pth,1914.87,100,46,2
league_ppo_real (score reward)_checkpoint_11700000.pth,1914.71,100,40,9
league_ppo (score reward)_checkpoint_18100000.pth,1913.98,100,45,3
league_ppo_regular (score reward)_checkpoint_10000000.pth,1911.66,100,47,4
league_ppo (misc rewards)_checkpoint_2200000.pth,1911.59,100,45,4
league_ppo (score reward)_checkpoint_16800000.pth,1911.24,100,48,0
league_ppo_regular (score reward)_checkpoint_13400000.pth,1910.70,100,47,1
league_ppo (misc rewards)_checkpoint_7500000.pth,1910.15,100,51,0
league_ppo_regular (score reward)_checkpoint_4500000.pth,1909.90,100,47,2
league_ppo_real (score reward)_checkpoint_7700000.pth,1909.07,100,44,4
league_ppo (score reward)_checkpoint_28900000.pth,1908.86,100,49,2
league_ppo_real (score reward)_checkpoint_7400000.pth,1908.18,100,41,2
league_ppo (score reward)_checkpoint_3700000.pth,1908.06,100,45,1
league_ppo (score reward)_checkpoint_13900000.pth,1907.97,100,47,2
league_ppo (score reward)_checkpoint_23900000.pth,1907.60,100,50,3
league_ppo_regular (score reward)_checkpoint_2400000.pth,1907.53,100,51,1
league_ppo_regular (score reward)_checkpoint_3500000.pth,1907.49,100,52,3
league_ppo (score reward)_checkpoint_16900000.pth,1906.83,100,46,2
league_ppo_regular (score reward)_checkpoint_7500000.pth,1906.65,100,44,4
league_ppo_regular (score reward)_checkpoint_12700000.pth,1905.83,100,49,1
league_ppo (score reward)_checkpoint_13200000.pth,1905.54,100,52,1
league_ppo (misc rewards)_checkpoint_5300000.pth,1905.46,100,36,4
league_ppo_regular (score reward)_checkpoint_9000000.pth,1905.15,100,45,1
league_ppo_real (score reward)_checkpoint_7500000.pth,1905.01,100,41,4
league_ppo_regular (score reward)_checkpoint_5500000.pth,1904.87,100,49,1
league_ppo_regular (score reward)_checkpoint_4300000.pth,1904.52,100,49,2
league_ppo_regular (score reward)_checkpoint_13100000.pth,1904.44,100,42,2
league_ppo_real (score reward)_checkpoint_11600000.pth,1904.20,100,40,3
league_ppo_regular (score reward)_checkpoint_10200000.pth,1904.18,100,42,1
league_ppo (score reward)_checkpoint_13400000.pth,1903.69,100,42,3
league_ppo (misc rewards)_checkpoint_1700000.pth,1903.25,100,46,4
league_ppo_regular (score reward)_checkpoint_2100000.pth,1902.76,100,46,1
league_ppo (score reward)_checkpoint_29800000.pth,1902.26,100,43,1
league_ppo_regular (score reward)_checkpoint_5300000.pth,1901.80,100,45,1
league_ppo_regular (score reward)_checkpoint_7300000.pth,1901.16,100,47,2
league_ppo (score reward)_checkpoint_21700000.pth,1901.05,100,47,2
league_ppo_regular (score reward)_checkpoint_8600000.pth,1899.17,100,47,4
league_ppo_regular (score reward)_checkpoint_4700000.pth,1899.07,100,51,2
league_ppo_regular (score reward)_checkpoint_6600000.pth,1898.85,100,49,1
league_ppo_real (score reward)_checkpoint_6800000.pth,1898.73,100,30,4
league_ppo (score reward)_checkpoint_28500000.pth,1898.67,100,52,3
league_ppo_regular (score reward)_checkpoint_6500000.pth,1898.25,100,47,1
league_ppo_real (score reward)_checkpoint_9300000.pth,1898.19,100,47,4
league_ppo (score reward)_checkpoint_17000000.pth,1897.86,100,40,2
league_ppo (score reward)_checkpoint_13100000.pth,1897.60,100,44,0
league_ppo_regular (score reward)_checkpoint_9500000.pth,1897.29,100,42,2
league_ppo (misc rewards)_checkpoint_7800000.pth,1897.17,100,41,9
league_ppo (score reward)_checkpoint_26400000.pth,1897.08,100,53,0
league_ppo_real (score reward)_checkpoint_11300000.pth,1896.26,100,36,10
